id;name;url;vendor;clean_url
81644;Оптический нивелир RGK C-24;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-opticheskij-nivelir-c-24%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-opticheskij-nivelir-c-24/
81676;Электронный теодолит RGK T-05;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Frgk-elektronnyj-teodolit-t-05%2F%3Frefid%3D533642&i=5;RGK (РГК);https://www.4glaza.ru/products/rgk-elektronnyj-teodolit-t-05/
73293;Пластина крепежная Sky-Watcher 33,5 см;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-plastina-krepezhnaya-33-5-sm%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-plastina-krepezhnaya-33-5-sm/
74471;Электропривод часовой оси Bresser (Брессер) Messier для монтировок EXOS-1/MON-1 (с пультом);https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fbresser-ehlektroprivod-chasovoj-osi-messier-dlya-montirovok-exos-1-mon-1-s-pultom%2F%3Frefid%3D533642&i=5;Bresser (Брессер);https://www.4glaza.ru/products/bresser-ehlektroprivod-chasovoj-osi-messier-dlya-montirovok-exos-1-mon-1-s-pultom/
81048;Конденсор темного поля (масляный) для микроскопа Levenhuk (Левенгук) MED 10;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Flevenhuk-kondensor-temnogo-polya-maslyanyj-dlya-mikroskopa-med-10%2F%3Frefid%3D533642&i=5;Levenhuk (Левенгук);https://www.4glaza.ru/products/levenhuk-kondensor-temnogo-polya-maslyanyj-dlya-mikroskopa-med-10/
68577;Искатель оптический Sky-Watcher 6x30 оборачивающий, с креплением;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-iskatel-opticheskiy-6x30-s-krepleniyem%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-iskatel-opticheskiy-6x30-s-krepleniyem/
68575;Искатель оптический Sky-Watcher 8x50 с изломом оси, с креплением;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-iskatel-opticheskiy-8x50-s-izlomom-osi-i-krepleniyem%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-iskatel-opticheskiy-8x50-s-izlomom-osi-i-krepleniyem/
72717;Искатель полюса Sky-Watcher для монтировки EQ8;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-iskatel-polyusa-dlya-montirovki-eq8%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-iskatel-polyusa-dlya-montirovki-eq8/
71519;Клин экваториальный Sky-Watcher для монтировки Star Adventurer, зеленый;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-klin-ehkvatorialnyj-dlya-montirovki-star-adventurer-zelenyj%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-klin-ehkvatorialnyj-dlya-montirovki-star-adventurer-zelenyj/
68576;Искатель оптический Sky-Watcher 8x50, с креплением;https://ad.admitad.com/g/bf5318833f037e65488429d217d1f7/?f_id=5421&ulp=https%3A%2F%2Fwww.4glaza.ru%2Fproducts%2Fsky-watcher-iskatel-opticheskiy-8x50-s-krepleniyem%2F%3Frefid%3D533642&i=5;Sky-Watcher (Скай-Вотчер);https://www.4glaza.ru/products/sky-watcher-iskatel-opticheskiy-8x50-s-krepleniyem/
