product_id;clear_url;Avaible;Price;OldPrice;Ads_id; ;Status
50749;https://www.4glaza.ru/products/levenhuk-ra-telescope-250n-dobson/;;;;[11528231399, 11528231400];;Идут показы.
50750;https://www.4glaza.ru/products/levenhuk-ra-telescope-300n-dobson/;;;;[11528231395, 11528231396];;Идут показы.
50774;https://www.4glaza.ru/products/levenhuk-barlow-lens-ed-2x-2/;;;;[11528231709, 11528231710];;Идут показы.
50792;https://www.4glaza.ru/products/levenhuk-ra-filters-set-f8;;;;[11957252527, 11957252528];;Идут показы.
50953;https://www.4glaza.ru/products/levenhuk-ra-telescope-r72-ed-doublet-ota/;;;;[11528231357, 11528231358];;Идут показы.
50955;https://www.4glaza.ru/products/levenhuk-ra-telescope-r80-ed-doublet-ota/;;;;[11528231359, 11528231360];;Идут показы.
51002;https://www.4glaza.ru/products/bino-steiner-safari-ultrasharp-8x22/;;;;[11528231233, 11528231234];;Идут показы.
51006;https://www.4glaza.ru/products/baader-planetarium-corrector-coma-mpcc-2/;;;;[11561860634, 11561860635];;Архивно.
51010;https://www.4glaza.ru/products/baader-planetarium-hyperion-ocular-8/;;;;[11561860636, 11561860637];;Идут показы.
51014;https://www.4glaza.ru/products/baader-planetarium-hyperion-ocular-21/;;;;[11561860638, 11561860639];;Идут показы.
51016;https://www.4glaza.ru/products/baader-planetarium-hyperion-aspheric-ocular-31/;;;;[11561860640, 11561860641];;Идут показы.
51017;https://www.4glaza.ru/products/baader-planetarium-hyperion-aspheric-ocular-36/;;;;[11561860642, 11561860643];;Идут показы.
51024;https://www.4glaza.ru/products/baader-planetarium-filter-contrast-booster-2/;;;;[11528231533, 11528231534];;Архивно.
51025;https://www.4glaza.ru/products/baader-planetarium-filter-fridge-killer-1-25;;;;[11794374499, 11794374500];;Идут показы.
51026;https://www.4glaza.ru/products/baader-planetarium-filter-fridge-killer-2/;;;;[11528231535, 11528231536];;Архивно.
51027;https://www.4glaza.ru/products/baader-planetarium-filter-moon-and-skyglow-1-25;;;;[11794374501, 11794374502];;Идут показы.
51028;https://www.4glaza.ru/products/baader-planetarium-filter-moon-and-skyglow-2/;;;;[11528231983, 11528231984];;Архивно.
51029;https://www.4glaza.ru/products/baader-planetarium-filter-o-iii-1-25/;;;;[11528231537, 11528231538];;Идут показы.
51031;https://www.4glaza.ru/products/baader-planetarium-filter-semi-apo-1-25;;;;[11794374503, 11794374504];;Идут показы.
51035;https://www.4glaza.ru/products/baader-planetarium-filter-uhc-s-1-25;;;;[11794374505, 11794374506];;Идут показы.
51454;https://www.4glaza.ru/products/bresser-national-geographic-76-700-eq/;;;;[11528232792, 11528232793];;Архивно.
51455;https://www.4glaza.ru/products/bresser-national-geographic-114-900-az/;;;;[11528232412, 11528232413];;Архивно.
51461;https://www.4glaza.ru/products/bresser-national-geographic-weatherstation-basic;;;;[11957252351, 11957252352];;Идут показы.
51462;https://www.4glaza.ru/products/bresser-national-geographic-weatherstation-3-view/;;;;[11528231603, 11528231604];;Идут показы.
53571;https://www.4glaza.ru/products/usb-digimicro-prof-5-0/;;;;[11443895979, 11443895980, 11443895981];;Архивно.
